ItemID,Year
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
2,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
1,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
5,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
35,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
7,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
4,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
8,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
50,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
36,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
3,2019
